complaint_text,department,urgency
Illegal encroachment on footpath,Municipality,Medium
Street full of litter and plastic waste,Sanitation,Low
Road construction work left incomplete,PWD,High
Water leakage from main pipeline,Water Board,High
Foul smell from garbage dump near school,Sanitation,Medium
Dirty water coming from tap,Water Board,High
Rainwater stagnation due to poor drainage,PWD,Medium
Speed breakers not marked  causing accidents,PWD,Low
Voltage fluctuations damaging devices,Electricity,Medium
Electric pole has fallen on the road,Electricity,High
Garbage not collected for 5 days,Sanitation,Medium
Tree fallen across the road blocking traffic,Municipality,High
No electricity in our area since morning,Electricity,High
No water supply in our apartment,Water Board,High
Open manhole near playground,Municipality,High
Potholes on the main road causing traffic,PWD,Medium
Tap water smells like sewage,Water Board,High
Street vendor blocking sidewalk,Municipality,Low
Low water pressure since last week,Water Board,Medium
Dogs attracted to open garbage pile,Sanitation,Low
Broken footpath near market area,PWD,Low
Drain near my house is overflowing,Sanitation,High
Street light flickering continuously,Electricity,Low
Power cut since last night,Electricity,High
Street dogs creating nuisance in colony,Municipality,Medium
Abandoned construction materials on road,PWD,Medium
Sewage water mixing with drinking supply,Water Board,High
Illegal parking in no-parking zone,Municipality,Low
Mosquito breeding in stagnant water,Sanitation,Medium
Transformer making loud noise,Electricity,Medium
Unauthorized hoardings blocking traffic view,Municipality,High
Water tank overflow wasting resources,Water Board,Medium
Garbage burning causing air pollution,Sanitation,High
Road divider damaged at intersection,PWD,Medium
Electric wires hanging dangerously low,Electricity,High
Public park not maintained properly,Municipality,Low
Irregular water timings in our locality,Water Board,Medium
Construction debris not cleared for weeks,PWD,High
Street lights not working for 10 days,Electricity,High
Illegal borewell digging in neighborhood,Water Board,High
Stray cattle blocking traffic,Municipality,Medium
Drain cover missing near bus stop,Sanitation,High
Frequent power surges damaging appliances,Electricity,Medium
Pedestrian crossing paint faded,PWD,Low
Water logging after slight rain,PWD,Medium
Unauthorized meat shops near residential area,Municipality,High
Garbage truck leaking waste on road,Sanitation,Medium
Public toilet in terrible condition,Sanitation,High
Traffic signal not functioning,PWD,High
Illegal loudspeakers after 10pm,Municipality,Low
Water meter not working properly,Water Board,Medium
Pavement tiles broken causing falls,Municipality,Medium
Street dogs attacking children,Municipality,High
Open defecation near railway tracks,Sanitation,High
High tension wires too close to buildings,Electricity,High
Public water tap leaking 24/7,Water Board,Medium
Construction noise late at night,PWD,Low
Sewage manhole overflowing for days,Sanitation,High
Illegal advertisement boards everywhere,Municipality,Low
Power cables lying on footpath,Electricity,High
Water supply contaminated with mud,Water Board,High
Bus stop shelter damaged,Municipality,Medium
Garbage bins overflowing daily,Sanitation,Medium
Street vendors using loud horns,Municipality,Low
Road signs missing at dangerous turn,PWD,High
Public well water contaminated,Water Board,High
Electricity bill abnormally high,Electricity,Medium
Park benches broken and unsafe,Municipality,Low
Drain water entering homes during rain,Sanitation,High
Unauthorized car wash using public water,Water Board,Medium
Footpath occupied by religious structures,Municipality,High
Street lights too bright into homes,Electricity,Low
Construction dust causing health issues,PWD,Medium
Stagnant water in playground,Municipality,Medium
Public telephone booth not working,PWD,Low
Water pipeline damaged by road work,Water Board,High
Illegal parking of trucks in residential area,Municipality,Medium
Garbage dumped in vacant plot,Sanitation,High
High voltage tower near school,Electricity,High
Public taps left running wasting water,Water Board,Medium
Roadside eateries dumping waste openly,Sanitation,Medium
Speed limit signs missing near school,PWD,High
Street hawkers using plastic bags banned,Municipality,Low
Sewage treatment plant malfunctioning,Water Board,High
Electricity meter running fast,Electricity,Medium
Public library books damaged,Municipality,Low
Drain water flooding main road,Sanitation,High
Water tanker overcharging residents,Water Board,Medium
Illegal construction in green zone,Municipality,High
Street dogs entering school premises,Municipality,Medium
Traffic police not managing congestion,PWD,Low
Garbage burning in open area,Sanitation,High
Public swimming pool water dirty,Water Board,Medium
Electric shock from street light pole,Electricity,High
Footpath converted to private parking,Municipality,Medium
Water shortage during peak hours,Water Board,High
Construction workers living on pavement,PWD,Low
Mosquito menace from nearby marsh,Sanitation,Medium
Public park gates broken,Municipality,Low
Unauthorized religious processions blocking roads,Municipality,High
Water pipeline project delayed for months,Water Board,High
Street food vendors unhygienic practices,Sanitation,Medium
Traffic island plants not maintained,PWD,Low
Illegal tapping of electricity lines,Electricity,High
Community hall in dilapidated condition,Municipality,Medium
Sewage smell from nearby drain,Sanitation,High
Water pressure too low on upper floors,Water Board,Medium
